,year,date,venue,crowd,match_id,home_team,away_team,home_team_score,away_team_score
44,2019, Mon 22 Apr 3:20pm,MCG,66347,9765,Hawthorn, Geelong,90,113
45,2019, Wed 24 Apr 7:35pm,MCG,72704,9766,Richmond, Melbourne,85,42
46,2019, Thu 25 Apr 3:20pm,MCG,92241,9767,Essendon, Collingwood,69,73
47,2019, Fri 26 Apr 7:20pm,Adelaide Oval,36099,9768,Port Adelaide, North Melbourne,88,72
48,2019, Sat 27 Apr 1:45pm,Metricon Stadium,13694,9769,Gold Coast, Brisbane,62,111
49,2019, Sat 27 Apr 4:35pm,Marvel Stadium,28404,9770,St Kilda, Adelaide,68,97
50,2019, Sat 27 Apr 6:10pm,Optus Stadium,43732,9772,Fremantle, Western Bulldogs,88,69
51,2019, Sat 27 Apr 7:25pm,SCG,29780,9771,Sydney, GWS,79,120
52,2019, Sun 28 Apr 3:20pm,UTAS Stadium,15888,9773,Hawthorn, Carlton,93,88
53,2019, Sun 28 Apr 4:40pm,GMHBA Stadium,28085,9774,Geelong, West Coast,104,46
54,2019, Fri 3 May 7:50pm,Marvel Stadium,37559,9775,Collingwood, Port Adelaide,108,69
55,2019, Sat 4 May 1:45pm,MCG,40864,9776,Melbourne, Hawthorn,79,74
56,2019, Sat 4 May 1:45pm,Canberra Oval,12633,9777,GWS, St Kilda,114,70
57,2019, Sat 4 May 4:35pm,Gabba,20075,9778,Brisbane, Sydney,103,81
58,2019, Sat 4 May 6:10pm,Optus Stadium,47497,9780,West Coast, Gold Coast,80,57
59,2019, Sat 4 May 7:25pm,Marvel Stadium,36151,9779,Western Bulldogs, Richmond,99,52
60,2019, Sun 5 May 1:10pm,Marvel Stadium,42430,9781,Carlton, North Melbourne,62,120
61,2019, Sun 5 May 3:20pm,MCG,63527,9782,Geelong, Essendon,86,54
62,2019, Sun 5 May 4:10pm,Adelaide Oval,42383,9783,Adelaide, Fremantle,51,34
63,2019, Fri 10 May 7:50pm,SCG,26502,9784,Sydney, Essendon,77,72
64,2019, Sat 11 May 1:45pm,MCG,69289,9786,Carlton, Collingwood,87,106
65,2019, Sat 11 May 1:45pm,Mars Stadium,9039,9785,Western Bulldogs, Brisbane,92,76
66,2019, Sat 11 May 4:35pm,Metricon Stadium,9765,9787,Gold Coast, Melbourne,60,61
67,2019, Sat 11 May 7:10pm,Adelaide Oval,49675,9789,Port Adelaide, Adelaide,68,88
68,2019, Sat 11 May 7:25pm,Marvel Stadium,24246,9788,St Kilda, West Coast,70,88
69,2019, Sun 12 May 1:10pm,Marvel Stadium,21156,9790,North Melbourne, Geelong,80,104
70,2019, Sun 12 May 3:20pm,Optus Stadium,42641,9792,Fremantle, Richmond,86,111
71,2019, Sun 12 May 3:20pm,MCG,14636,9791,Hawthorn, GWS,71,38
72,2019, Fri 17 May 6:10pm,Optus Stadium,51162,9793,West Coast, Melbourne,85,69
73,2019, Sat 18 May 1:45pm,MCG,60702,9794,Collingwood, St Kilda,112,71
74,2019, Sat 18 May 2:10pm,Gabba,20405,9795,Brisbane, Adelaide,93,92
75,2019, Sat 18 May 4:35pm,GMHBA Stadium,31373,9796,Geelong, Western Bulldogs,133,89
76,2019, Sat 18 May 7:25pm,Blundstone Arena,12799,9798,North Melbourne, Sydney,72,77
77,2019, Sat 18 May 7:25pm,Marvel Stadium,29176,9797,Essendon, Fremantle,60,53
78,2019, Sun 19 May 12:40pm,Adelaide Oval,26129,9799,Port Adelaide, Gold Coast,89,51
79,2019, Sun 19 May 3:20pm,MCG,64936,9800,Richmond, Hawthorn,95,59
80,2019, Sun 19 May 4:40pm,GIANTS Stadium,9599,9801,GWS, Carlton,138,45
81,2019, Fri 24 May 7:50pm,SCG,34649,9802,Sydney, Collingwood,73,80
82,2019, Sat 25 May 1:45pm,UTAS Stadium,11637,9803,Hawthorn, Port Adelaide,80,49
83,2019, Sat 25 May 2:10pm,Marvel Stadium,26156,9804,Western Bulldogs, North Melbourne,90,115
84,2019, Sat 25 May 4:05pm,Adelaide Oval,41630,9805,Adelaide, West Coast,73,85
85,2019, Sat 25 May 7:25pm,Metricon Stadium,13144,9806,Gold Coast, Geelong,64,91
86,2019, Sat 25 May 7:25pm,MCG,80176,9807,Richmond, Essendon,73,50
87,2019, Sun 26 May 1:10pm,MCG,20023,9808,Melbourne, GWS,68,94
88,2019, Sun 26 May 3:20pm,Optus Stadium,36383,9810,Fremantle, Brisbane,73,72
89,2019, Sun 26 May 3:20pm,Marvel Stadium,35058,9809,St Kilda, Carlton,68,55
90,2019, Fri 31 May 7:50pm,Marvel Stadium,29326,9811,North Melbourne, Richmond,99,62
91,2019, Sat 1 Jun 1:45pm,GIANTS Stadium,7581,9813,GWS, Gold Coast,126,43
92,2019, Sat 1 Jun 1:45pm,MCG,41774,9812,Collingwood, Fremantle,75,79
93,2019, Sat 1 Jun 4:35pm,GMHBA Stadium,29021,9814,Geelong, Sydney,85,63
94,2019, Sat 1 Jun 7:10pm,TIO Stadium,10634,9816,Melbourne, Adelaide,88,90
95,2019, Sat 1 Jun 7:25pm,Gabba,25051,9815,Brisbane, Hawthorn,85,66
96,2019, Sun 2 Jun 12:20pm,Jiangwan Stadium,9412,9817,St Kilda, Port Adelaide,69,139
97,2019, Sun 2 Jun 3:20pm,Optus Stadium,53195,9819,West Coast, Western Bulldogs,133,72
98,2019, Sun 2 Jun 3:20pm,MCG,50423,9818,Essendon, Carlton,74,33
99,2019, Fri 7 Jun 7:50pm,MCG,65214,9820,Richmond, Geelong,37,104
100,2019, Sat 8 Jun 1:45pm,Marvel Stadium,32211,9821,Carlton, Brisbane,78,63
101,2019, Sat 8 Jun 4:35pm,Metricon Stadium,9305,9822,Gold Coast, North Melbourne,72,99
102,2019, Sat 8 Jun 7:10pm,Adelaide Oval,41710,9823,Adelaide, GWS,82,61
103,2019, Sun 9 Jun 3:20pm,SCG,36640,9824,Sydney, West Coast,116,71
104,2019, Mon 10 Jun 3:20pm,MCG,74036,9825,Collingwood, Melbourne,98,57
105,2019, Thu 13 Jun 7:20pm,Adelaide Oval,40837,9826,Adelaide, Richmond,101,68
106,2019, Fri 14 Jun 7:50pm,Marvel Stadium,44846,9827,Essendon, Hawthorn,96,77
107,2019, Sat 15 Jun 1:45pm,Riverway Stadium,7243,9828,Gold Coast, St Kilda,76,80
108,2019, Sat 15 Jun 2:35pm,Optus Stadium,37451,9829,Fremantle, Port Adelaide,100,79
109,2019, Sat 15 Jun 7:25pm,Marvel Stadium,35479,9830,Carlton, Western Bulldogs,100,103
110,2019, Sun 16 Jun 3:20pm,Blundstone Arena,7832,9831,North Melbourne, GWS,68,91
111,2019, Thu 20 Jun 6:10pm,Optus Stadium,52810,9832,West Coast, Essendon,106,71
112,2019, Fri 21 Jun 7:50pm,SCG,29553,9833,Sydney, Hawthorn,82,63
113,2019, Sat 22 Jun 1:45pm,MCG,20211,9834,Melbourne, Fremantle,85,71
114,2019, Sat 22 Jun 4:35pm,Marvel Stadium,22885,9835,St Kilda, Brisbane,59,115
115,2019, Sat 22 Jun 7:10pm,Adelaide Oval,37726,9836,Port Adelaide, Geelong,67,56
116,2019, Sun 23 Jun 3:20pm,Marvel Stadium,39836,9837,Western Bulldogs, Collingwood,73,82
