,year,date,venue,crowd,match_id,home_team,away_team,home_team_score,away_team_score,Match_id,AF_Away,AF_Home,SC_Away,SC_Home,match_result,match_result_home_margin,match_result_away_margin,sc_result,sc_correct?,af_result,af_correct?,diff_fantasy_result
1736,2018, Sat 23 Jun 1:45pm,UTAS Stadium,9007,9627,Hawthorn,Gold Coast,96,43,9627,1346,1639,1436,1864,home_win,53,-53,home_win,True,home_win,True,False
1737,2018, Sat 23 Jun 4:35pm,Gabba,11267,9628,Brisbane,GWS,82,109,9628,1476,1641,1668,1634,away_win,-27,27,away_win,True,home_win,False,True
1738,2018, Sat 23 Jun 7:25pm,Marvel Stadium,26301,9629,Western Bulldogs,North Melbourne,75,77,9629,1422,1528,1600,1700,away_win,-2,2,home_win,False,home_win,False,False
1739,2018, Sun 24 Jun 3:20pm,MCG,53706,9630,Collingwood,Carlton,79,59,9630,1483,1609,1536,1764,home_win,20,-20,home_win,True,home_win,True,False
1740,2018, Thu 28 Jun 7:20pm,Marvel Stadium,43519,9631,Richmond,Sydney,93,67,9631,1456,1654,1546,1753,home_win,26,-26,home_win,True,home_win,True,False
1741,2018, Fri 29 Jun 7:50pm,Marvel Stadium,29499,9632,Western Bulldogs,Geelong,103,101,9632,1707,1616,1708,1590,home_win,2,-2,away_win,False,away_win,False,False
1742,2018, Sat 30 Jun 1:45pm,MCG,26562,9633,Carlton,Port Adelaide,69,90,9633,1628,1458,1725,1571,away_win,-21,21,away_win,True,away_win,True,False
1743,2018, Sat 30 Jun 4:05pm,Adelaide Oval,44771,9634,Adelaide,West Coast,88,78,9634,1565,1478,1617,1680,home_win,10,-10,home_win,True,away_win,False,True
1744,2018, Sat 30 Jun 7:25pm,GIANTS Stadium,10866,9636,GWS,Hawthorn,95,84,9636,1666,1543,1623,1679,home_win,11,-11,home_win,True,away_win,False,True
1745,2018, Sat 30 Jun 7:25pm,Metricon Stadium,13637,9635,Gold Coast,Collingwood,60,99,9635,1702,1622,1793,1509,away_win,-39,39,away_win,True,away_win,True,False
1746,2018, Sun 1 Jul 1:10pm,MCG,38910,9637,Melbourne,St Kilda,117,119,9637,1519,1540,1716,1579,away_win,-2,2,away_win,True,home_win,False,True
1747,2018, Sun 1 Jul 2:40pm,Optus Stadium,41674,9639,Fremantle,Brisbane,64,119,9639,1673,1364,1857,1445,away_win,-55,55,away_win,True,away_win,True,False
1748,2018, Sun 1 Jul 3:20pm,Marvel Stadium,45580,9638,Essendon,North Melbourne,125,108,9638,1611,1666,1587,1716,home_win,17,-17,home_win,True,home_win,True,False
1749,2018, Thu 5 Jul 7:20pm,SCG,34363,9640,Sydney,Geelong,59,71,9640,1498,1434,1765,1538,away_win,-12,12,away_win,True,away_win,True,False
1750,2018, Fri 6 Jul 7:50pm,MCG,54934,9641,Richmond,Adelaide,103,56,9641,1582,1758,1489,1810,home_win,47,-47,home_win,True,home_win,True,False
1751,2018, Sat 7 Jul 1:45pm,Gabba,21074,9642,Brisbane,Carlton,120,55,9642,1206,1899,1310,1989,home_win,65,-65,home_win,True,home_win,True,False
1752,2018, Sat 7 Jul 4:05pm,Adelaide Oval,36253,9643,Port Adelaide,St Kilda,86,50,9643,1364,1784,1412,1888,home_win,36,-36,home_win,True,home_win,True,False
1753,2018, Sat 7 Jul 7:10pm,TIO Stadium,8689,9645,Melbourne,Fremantle,102,48,9645,1416,1777,1425,1875,home_win,54,-54,home_win,True,home_win,True,False
1754,2018, Sat 7 Jul 7:25pm,Marvel Stadium,35320,9644,Western Bulldogs,Hawthorn,59,122,9644,1796,1532,1753,1550,away_win,-63,63,away_win,True,away_win,True,False
1755,2018, Sun 8 Jul 1:10pm,Marvel Stadium,14389,9646,North Melbourne,Gold Coast,95,58,9646,1409,1800,1447,1851,home_win,37,-37,home_win,True,home_win,True,False
1756,2018, Sun 8 Jul 2:40pm,Optus Stadium,52105,9648,West Coast,GWS,86,75,9648,1485,1568,1640,1658,home_win,11,-11,home_win,True,home_win,True,False
1757,2018, Sun 8 Jul 3:20pm,MCG,69868,9647,Essendon,Collingwood,62,78,9647,1543,1508,1692,1610,away_win,-16,16,away_win,True,away_win,True,False
1758,2018, Thu 12 Jul 7:20pm,Adelaide Oval,46095,9649,Adelaide,Geelong,112,97,9649,1524,1688,1573,1729,home_win,15,-15,home_win,True,home_win,True,False
1759,2018, Fri 13 Jul 7:50pm,Marvel Stadium,33780,9650,St Kilda,Carlton,116,52,9650,1319,1830,1456,1846,home_win,64,-64,home_win,True,home_win,True,False
1760,2018, Sat 14 Jul 1:45pm,UTAS Stadium,12557,9651,Hawthorn,Brisbane,65,98,9651,1578,1576,1698,1604,away_win,-33,33,away_win,True,away_win,True,False
1761,2018, Sat 14 Jul 4:35pm,MCG,30305,9652,Melbourne,Western Bulldogs,119,69,9652,1594,1670,1575,1726,home_win,50,-50,home_win,True,home_win,True,False
1762,2018, Sat 14 Jul 7:25pm,GIANTS Stadium,14456,9654,GWS,Richmond,79,77,9654,1472,1592,1582,1718,home_win,2,-2,home_win,True,home_win,True,False
1763,2018, Sat 14 Jul 7:25pm,Metricon Stadium,13061,9653,Gold Coast,Essendon,51,95,9653,1832,1341,1894,1408,away_win,-44,44,away_win,True,away_win,True,False
1764,2018, Sun 15 Jul 1:10pm,MCG,53439,9655,Collingwood,West Coast,67,102,9655,1634,1419,1768,1530,away_win,-35,35,away_win,True,away_win,True,False
1765,2018, Sun 15 Jul 2:40pm,Optus Stadium,33190,9657,Fremantle,Port Adelaide,59,50,9657,1495,1572,1573,1726,home_win,9,-9,home_win,True,home_win,True,False
1766,2018, Sun 15 Jul 3:20pm,Marvel Stadium,25633,9656,North Melbourne,Sydney,98,104,9656,1602,1557,1656,1643,away_win,-6,6,away_win,True,away_win,True,False
1767,2018, Fri 20 Jul 7:50pm,Marvel Stadium,36269,9658,St Kilda,Richmond,57,111,9658,1497,1551,1737,1566,away_win,-54,54,away_win,True,home_win,False,True
1768,2018, Sat 21 Jul 1:45pm,MCG,50393,9659,Collingwood,North Melbourne,130,64,9659,1319,1766,1379,1919,home_win,66,-66,home_win,True,home_win,True,False
1769,2018, Sat 21 Jul 2:10pm,SCG,32565,9660,Sydney,Gold Coast,64,88,9660,1522,1577,1646,1658,away_win,-24,24,home_win,False,home_win,False,False
1770,2018, Sat 21 Jul 4:35pm,Marvel Stadium,31564,9661,Essendon,Fremantle,99,70,9661,1277,1598,1501,1799,home_win,29,-29,home_win,True,home_win,True,False
1771,2018, Sat 21 Jul 7:25pm,GMHBA Stadium,30125,9663,Geelong,Melbourne,100,98,9663,1674,1696,1624,1677,home_win,2,-2,home_win,True,home_win,True,False
1772,2018, Sat 21 Jul 7:25pm,Gabba,20475,9662,Brisbane,Adelaide,88,93,9662,1485,1506,1656,1643,away_win,-5,5,away_win,True,home_win,False,True
