,date,venue,crowd,match_id,home_team,away_team,home_team_score,away_team_score
190, Sun 14 Aug 1:10pm,Marvel Stadium,15739,5337,Melbourne, West Coast,62,110
191, Sun 14 Aug 2:10pm,MCG,34337,5338,Richmond, Sydney,99,56
192, Sun 14 Aug 4:10pm,AAMI Stadium,33576,5339,Adelaide, Geelong,85,96
193, ,BYE,,5340,North Melbourne,,,
194, Fri 19 Aug 7:40pm,Marvel Stadium,52052,5341,Carlton, Hawthorn,66,78
195, Sat 20 Aug 1:10pm,Domain Stadium,38253,5342,West Coast, Essendon,134,77
0, Sat 24 Mar 7:20pm,ANZ Stadium,38203,5343,GWS, Sydney,37,100
1, Thu 29 Mar 7:40pm,MCG,78285,5344,Richmond, Carlton,81,125
2, Fri 30 Mar 7:50pm,MCG,78464,5345,Hawthorn, Collingwood,137,115
3, Sat 31 Mar 1:40pm,MCG,33473,5346,Melbourne, Brisbane,78,119
4, Sat 31 Mar 3:40pm,Metricon Stadium,12790,5347,Gold Coast, Adelaide,68,137
5, Sat 31 Mar 4:40pm,Domain Stadium,34601,5348,Fremantle, Geelong,105,101
6, Sat 31 Mar 7:40pm,Marvel Stadium,45818,5349,North Melbourne, Essendon,102,104
7, Sun 1 Apr 1:10pm,Marvel Stadium,24977,5350,Western Bulldogs, West Coast,87,136
8, Sun 1 Apr 4:10pm,AAMI Stadium,21179,5351,Port Adelaide, St Kilda,89,85
9, Thu 5 Apr 7:40pm,Gabba,25913,5352,Brisbane, Carlton,63,154
10, Sat 7 Apr 1:45pm,Marvel Stadium,34118,5353,Essendon, Port Adelaide,111,86
11, Sat 7 Apr 2:10pm,SCG,22242,5354,Sydney, Fremantle,94,81
12, Sat 7 Apr 2:40pm,Domain Stadium,35674,5355,West Coast, Melbourne,166,58
13, Sat 7 Apr 7:10pm,AAMI Stadium,34021,5356,Adelaide, Western Bulldogs,82,64
14, Sat 7 Apr 7:40pm,MCG,57268,5357,Collingwood, Richmond,85,64
15, Sun 8 Apr 1:10pm,Blundstone Arena,11127,5358,North Melbourne, GWS,183,54
16, Sun 8 Apr 4:40pm,Marvel Stadium,21078,5359,St Kilda, Gold Coast,139,47
17, Mon 9 Apr 3:10pm,MCG,69231,5360,Geelong, Hawthorn,92,90
18, Fri 13 Apr 7:50pm,MCG,84259,5361,Carlton, Collingwood,122,62
19, Sat 14 Apr 1:40pm,AAMI Stadium,19032,5363,Port Adelaide, Sydney,83,105
20, Sat 14 Apr 1:45pm,MCG,49826,5362,Richmond, Melbourne,133,74
21, Sat 14 Apr 2:40pm,Domain Stadium,33473,5364,Fremantle, Brisbane,64,35
22, Sat 14 Apr 7:40pm,Marvel Stadium,28971,5365,Western Bulldogs, St Kilda,40,103
23, Sat 14 Apr 7:40pm,Metricon Stadium,17069,5366,Gold Coast, Essendon,88,105
24, Sun 15 Apr 1:10pm,Blacktown International,6875,5367,GWS, West Coast,69,150
25, Sun 15 Apr 3:15pm,MCG,33524,5368,Hawthorn, Adelaide,140,84
26, Sun 15 Apr 4:40pm,Marvel Stadium,29630,5369,North Melbourne, Geelong,131,114
27, Fri 20 Apr 7:50pm,Marvel Stadium,30172,5370,St Kilda, Fremantle,79,92
28, Sat 21 Apr 1:45pm,MCG,73172,5371,Carlton, Essendon,79,109
29, Sat 21 Apr 2:10pm,Marvel Stadium,30741,5372,Collingwood, Port Adelaide,97,73
30, Sat 21 Apr 4:10pm,AAMI Stadium,28261,5373,Adelaide, GWS,96,50
31, Sat 21 Apr 5:40pm,Domain Stadium,40080,5375,West Coast, Hawthorn,51,46
32, Sat 21 Apr 7:40pm,Gabba,21980,5374,Brisbane, Gold Coast,111,46
33, Sun 22 Apr 1:10pm,GMHBA Stadium,21952,5376,Geelong, Richmond,75,65
34, Sun 22 Apr 3:15pm,SCG,21049,5377,Sydney, North Melbourne,113,77
35, Sun 22 Apr 4:40pm,MCG,33565,5378,Melbourne, Western Bulldogs,67,88
36, Wed 25 Apr 2:40pm,MCG,86932,5379,Collingwood, Essendon,80,79
37, Fri 27 Apr 6:40pm,Domain Stadium,38847,5380,Fremantle, Carlton,57,65
38, Sat 28 Apr 2:10pm,Canberra Oval,9128,5381,GWS, Western Bulldogs,62,104
39, Sat 28 Apr 4:40pm,Marvel Stadium,17680,5382,North Melbourne, Gold Coast,127,93
40, Sat 28 Apr 7:40pm,MCG,24798,5384,Melbourne, St Kilda,66,84
41, Sat 28 Apr 7:40pm,Gabba,15528,5383,Brisbane, Geelong,41,79
42, Sun 29 Apr 1:10pm,UTAS Stadium,19217,5385,Hawthorn, Sydney,69,106
43, Sun 29 Apr 3:15pm,Marvel Stadium,28464,5386,Richmond, West Coast,97,107
44, Sun 29 Apr 4:10pm,AAMI Stadium,41649,5387,Adelaide, Port Adelaide,110,91
45, Fri 4 May 7:50pm,Marvel Stadium,38155,5388,Western Bulldogs, Collingwood,77,98
46, Sat 5 May 1:40pm,Marvel Stadium,36361,5389,Essendon, Brisbane,129,62
47, Sat 5 May 1:45pm,GMHBA Stadium,18010,5390,Geelong, Melbourne,119,76
48, Sat 5 May 4:40pm,Metricon Stadium,11670,5391,Gold Coast, Fremantle,87,94
49, Sat 5 May 7:40pm,MCG,42289,5393,St Kilda, Hawthorn,88,123
50, Sat 5 May 7:40pm,SCG,23969,5392,Sydney, Adelaide,94,99
51, Sun 6 May 1:10pm,Marvel Stadium,28213,5394,Carlton, GWS,110,43
52, Sun 6 May 2:40pm,Domain Stadium,37202,5396,West Coast, North Melbourne,120,95
53, Sun 6 May 2:45pm,AAMI Stadium,18522,5395,Port Adelaide, Richmond,54,91
54, Fri 11 May 7:50pm,MCG,36430,5397,Melbourne, Hawthorn,49,115
55, Sat 12 May 1:15pm,AAMI Stadium,35535,5399,Adelaide, Geelong,122,72
56, Sat 12 May 1:40pm,Canberra Oval,8603,5398,GWS, Gold Coast,94,67
57, Sat 12 May 4:40pm,MCG,40352,5400,Richmond, Sydney,91,62
58, Sat 12 May 7:40pm,Marvel Stadium,43260,5402,Essendon, West Coast,113,52
59, Sat 12 May 7:40pm,Gabba,27926,5401,Brisbane, Collingwood,58,116
60, Sun 13 May 1:10pm,Marvel Stadium,20885,5403,North Melbourne, Western Bulldogs,83,101
61, Sun 13 May 2:40pm,Domain Stadium,30079,5404,Fremantle, Port Adelaide,87,47
62, Mon 14 May 7:40pm,Marvel Stadium,38823,5405,St Kilda, Carlton,122,98
