,Fanfooty Match ID,Team,DT,SC
75,http://live.fanfooty.com.au/game/matchcentre.html?id=3462,RI,1516,1647.0
76,http://live.fanfooty.com.au/game/matchcentre.html?id=3463,CA,1775,1840.0
77,http://live.fanfooty.com.au/game/matchcentre.html?id=3463,PA,1358,1504.0
78,http://live.fanfooty.com.au/game/matchcentre.html?id=3464,ES,1450,1600.0
79,http://live.fanfooty.com.au/game/matchcentre.html?id=3464,SK,1662,1727.0
80,http://live.fanfooty.com.au/game/matchcentre.html?id=3465,CO,1421,1426.0
81,http://live.fanfooty.com.au/game/matchcentre.html?id=3465,GE,2005,1894.0
82,http://live.fanfooty.com.au/game/matchcentre.html?id=3466,NM,1387,1287.0
83,http://live.fanfooty.com.au/game/matchcentre.html?id=3466,WB,2006,2024.0
84,http://live.fanfooty.com.au/game/matchcentre.html?id=3467,FR,1363,1646.0
85,http://live.fanfooty.com.au/game/matchcentre.html?id=3467,SY,1523,1676.0
86,http://live.fanfooty.com.au/game/matchcentre.html?id=3468,ES,1731,1905.0
87,http://live.fanfooty.com.au/game/matchcentre.html?id=3468,RI,1314,1394.0
88,http://live.fanfooty.com.au/game/matchcentre.html?id=3469,ME,1553,1626.0
89,http://live.fanfooty.com.au/game/matchcentre.html?id=3469,PA,1549,1695.0
90,http://live.fanfooty.com.au/game/matchcentre.html?id=3470,AD,1408,1650.0
91,http://live.fanfooty.com.au/game/matchcentre.html?id=3470,BL,1643,1655.0
92,http://live.fanfooty.com.au/game/matchcentre.html?id=3471,CA,1573,1611.0
93,http://live.fanfooty.com.au/game/matchcentre.html?id=3471,HW,1621,1711.0
94,http://live.fanfooty.com.au/game/matchcentre.html?id=3472,SK,1656,1752.0
95,http://live.fanfooty.com.au/game/matchcentre.html?id=3472,WC,1511,1547.0
96,http://live.fanfooty.com.au/game/matchcentre.html?id=3473,ES,1700,1792.0
97,http://live.fanfooty.com.au/game/matchcentre.html?id=3473,WB,1494,1510.0
98,http://live.fanfooty.com.au/game/matchcentre.html?id=3474,GE,1710,1917.0
99,http://live.fanfooty.com.au/game/matchcentre.html?id=3474,ME,1355,1385.0
100,http://live.fanfooty.com.au/game/matchcentre.html?id=3475,PA,1391,1485.0
101,http://live.fanfooty.com.au/game/matchcentre.html?id=3475,RI,1616,1848.0
102,http://live.fanfooty.com.au/game/matchcentre.html?id=3476,BL,1815,1672.0
103,http://live.fanfooty.com.au/game/matchcentre.html?id=3476,CO,1573,1610.0
104,http://live.fanfooty.com.au/game/matchcentre.html?id=3477,AD,1413,1428.0
105,http://live.fanfooty.com.au/game/matchcentre.html?id=3477,SK,1782,1849.0
106,http://live.fanfooty.com.au/game/matchcentre.html?id=3478,HW,1415,1631.0
107,http://live.fanfooty.com.au/game/matchcentre.html?id=3478,SY,1507,1687.0
108,http://live.fanfooty.com.au/game/matchcentre.html?id=3479,CA,1890,1927.0
109,http://live.fanfooty.com.au/game/matchcentre.html?id=3479,WC,1474,1372.0
110,http://live.fanfooty.com.au/game/matchcentre.html?id=3480,FR,1770,1854.0
111,http://live.fanfooty.com.au/game/matchcentre.html?id=3480,NM,1458,1448.0
112,http://live.fanfooty.com.au/game/matchcentre.html?id=3481,RI,1275,1415.0
113,http://live.fanfooty.com.au/game/matchcentre.html?id=3481,SK,1893,1907.0
114,http://live.fanfooty.com.au/game/matchcentre.html?id=3482,CA,1654,1792.0
115,http://live.fanfooty.com.au/game/matchcentre.html?id=3482,ME,1448,1549.0
116,http://live.fanfooty.com.au/game/matchcentre.html?id=3483,AD,1701,1835.0
117,http://live.fanfooty.com.au/game/matchcentre.html?id=3483,FR,1357,1503.0
118,http://live.fanfooty.com.au/game/matchcentre.html?id=3484,BL,1718,1717.0
119,http://live.fanfooty.com.au/game/matchcentre.html?id=3484,NM,1457,1590.0
120,http://live.fanfooty.com.au/game/matchcentre.html?id=3485,GE,1617,1717.0
121,http://live.fanfooty.com.au/game/matchcentre.html?id=3485,WC,1589,1583.0
122,http://live.fanfooty.com.au/game/matchcentre.html?id=3486,ES,1547,1617.0
123,http://live.fanfooty.com.au/game/matchcentre.html?id=3486,SY,1524,1667.0
124,http://live.fanfooty.com.au/game/matchcentre.html?id=3487,HW,1592,1679.0
125,http://live.fanfooty.com.au/game/matchcentre.html?id=3487,PA,1502,1625.0
126,http://live.fanfooty.com.au/game/matchcentre.html?id=3488,CO,1666,1775.0
127,http://live.fanfooty.com.au/game/matchcentre.html?id=3488,WB,1576,1558.0
128,http://live.fanfooty.com.au/game/matchcentre.html?id=3489,CA,1518,1587.0
129,http://live.fanfooty.com.au/game/matchcentre.html?id=3489,NM,1581,1734.0
130,http://live.fanfooty.com.au/game/matchcentre.html?id=3490,AD,1562,1497.0
131,http://live.fanfooty.com.au/game/matchcentre.html?id=3490,HW,1684,1822.0
132,http://live.fanfooty.com.au/game/matchcentre.html?id=3491,ES,1433,1445.0
133,http://live.fanfooty.com.au/game/matchcentre.html?id=3491,GE,1777,1875.0
134,http://live.fanfooty.com.au/game/matchcentre.html?id=3492,PA,1483,1564.0
135,http://live.fanfooty.com.au/game/matchcentre.html?id=3492,SY,1705,1759.0
136,http://live.fanfooty.com.au/game/matchcentre.html?id=3493,RI,1551,1794.0
137,http://live.fanfooty.com.au/game/matchcentre.html?id=3493,WC,1588,1521.0
138,http://live.fanfooty.com.au/game/matchcentre.html?id=3494,BL,1586,1424.0
139,http://live.fanfooty.com.au/game/matchcentre.html?id=3494,WB,1810,1920.0
140,http://live.fanfooty.com.au/game/matchcentre.html?id=3495,FR,1405,1505.0
141,http://live.fanfooty.com.au/game/matchcentre.html?id=3495,SK,1590,1805.0
142,http://live.fanfooty.com.au/game/matchcentre.html?id=3496,CO,1656,1654.0
143,http://live.fanfooty.com.au/game/matchcentre.html?id=3496,ME,1629,1658.0
144,http://live.fanfooty.com.au/game/matchcentre.html?id=3497,ES,1598,1579.0
145,http://live.fanfooty.com.au/game/matchcentre.html?id=3497,HW,1465,1729.0
146,http://live.fanfooty.com.au/game/matchcentre.html?id=3498,CA,1664,1678.0
147,http://live.fanfooty.com.au/game/matchcentre.html?id=3498,FR,1482,1623.0
148,http://live.fanfooty.com.au/game/matchcentre.html?id=3499,BL,1545,1604.0
149,http://live.fanfooty.com.au/game/matchcentre.html?id=3499,RI,1480,1714.0
150,http://live.fanfooty.com.au/game/matchcentre.html?id=3500,NM,1620,1708.0
151,http://live.fanfooty.com.au/game/matchcentre.html?id=3500,PA,1600,1592.0
152,http://live.fanfooty.com.au/game/matchcentre.html?id=3501,WB,1773,1774.0
153,http://live.fanfooty.com.au/game/matchcentre.html?id=3501,WC,1484,1519.0
154,http://live.fanfooty.com.au/game/matchcentre.html?id=3502,GE,1495,1483.0
155,http://live.fanfooty.com.au/game/matchcentre.html?id=3502,SK,1813,1860.0
156,http://live.fanfooty.com.au/game/matchcentre.html?id=3503,CO,1591,1802.0
157,http://live.fanfooty.com.au/game/matchcentre.html?id=3503,SY,1456,1518.0
158,http://live.fanfooty.com.au/game/matchcentre.html?id=3504,AD,1658,1823.0
159,http://live.fanfooty.com.au/game/matchcentre.html?id=3504,ME,1544,1476.0
160,http://live.fanfooty.com.au/game/matchcentre.html?id=3506,HW,1578,1675.0
161,http://live.fanfooty.com.au/game/matchcentre.html?id=3506,WB,1576,1675.0
162,http://live.fanfooty.com.au/game/matchcentre.html?id=3507,FR,1640,1728.0
163,http://live.fanfooty.com.au/game/matchcentre.html?id=3507,PA,1478,1621.0
164,http://live.fanfooty.com.au/game/matchcentre.html?id=3508,CO,1871,1968.0
165,http://live.fanfooty.com.au/game/matchcentre.html?id=3508,WC,1386,1333.0
166,http://live.fanfooty.com.au/game/matchcentre.html?id=3509,AD,1583,1805.0
167,http://live.fanfooty.com.au/game/matchcentre.html?id=3509,ES,1426,1525.0
168,http://live.fanfooty.com.au/game/matchcentre.html?id=3510,GE,1950,1969.0
169,http://live.fanfooty.com.au/game/matchcentre.html?id=3510,NM,1367,1345.0
