,date,venue,crowd,match_id,home_team,away_team,home_team_score,away_team_score
0, Thu 21 Mar 7:25pm,MCG,85016,9721,Carlton, Richmond,64,97
1, Fri 22 Mar 7:50pm,MCG,78017,9722,Collingwood, Geelong,65,72
2, Sat 23 Mar 1:45pm,MCG,38866,9723,Melbourne, Port Adelaide,61,87
3, Sat 23 Mar 4:05pm,Adelaide Oval,50180,9724,Adelaide, Hawthorn,55,87
4, Sat 23 Mar 7:20pm,Gabba,20029,9726,Brisbane, West Coast,102,58
5, Sat 23 Mar 7:25pm,Marvel Stadium,32303,9725,Western Bulldogs, Sydney,82,65
6, Sun 24 Mar 1:10pm,Marvel Stadium,20291,9727,St Kilda, Gold Coast,85,84
7, Sun 24 Mar 3:20pm,GIANTS Stadium,15424,9728,GWS, Essendon,112,40
8, Sun 24 Mar 3:20pm,Optus Stadium,40033,9729,Fremantle, North Melbourne,141,59
9, Thu 28 Mar 7:20pm,MCG,70699,9730,Richmond, Collingwood,66,110
10, Fri 29 Mar 7:50pm,SCG,32575,9731,Sydney, Adelaide,62,88
11, Sat 30 Mar 4:35pm,Marvel Stadium,44252,9732,Essendon, St Kilda,65,76
12, Sat 30 Mar 4:40pm,Adelaide Oval,41552,9733,Port Adelaide, Carlton,88,72
13, Sat 30 Mar 5:10pm,Optus Stadium,54985,9735,West Coast, GWS,104,52
14, Sat 30 Mar 7:25pm,GMHBA Stadium,27561,9734,Geelong, Melbourne,126,46
15, Sun 31 Mar 1:10pm,Marvel Stadium,23100,9736,North Melbourne, Brisbane,87,107
16, Sun 31 Mar 3:20pm,MCG,39368,9737,Hawthorn, Western Bulldogs,87,106
17, Sun 31 Mar 3:40pm,Metricon Stadium,10119,9738,Gold Coast, Fremantle,61,58
18, Thu 4 Apr 7:20pm,Adelaide Oval,45631,9739,Adelaide, Geelong,75,99
19, Fri 5 Apr 7:50pm,MCG,52475,9740,Melbourne, Essendon,112,130
20, Sat 6 Apr 1:45pm,Marvel Stadium,39290,9741,Carlton, Sydney,74,93
21, Sat 6 Apr 4:35pm,GIANTS Stadium,12697,9742,GWS, Richmond,125,76
22, Sat 6 Apr 6:25pm,Gabba,19958,9743,Brisbane, Port Adelaide,107,90
23, Sat 6 Apr 7:25pm,MCG,60878,9744,Collingwood, West Coast,76,98
24, Sun 7 Apr 2:20pm,Marvel Stadium,22499,9745,Western Bulldogs, Gold Coast,68,73
25, Sun 7 Apr 3:20pm,MCG,36174,9746,Hawthorn, North Melbourne,87,71
26, Sun 7 Apr 3:20pm,Optus Stadium,38227,9747,Fremantle, St Kilda,71,66
27, Thu 11 Apr 7:20pm,SCG,26669,9748,Sydney, Melbourne,78,100
28, Fri 12 Apr 7:50pm,MCG,59257,9749,Collingwood, Western Bulldogs,78,64
29, Sat 13 Apr 1:45pm,GMHBA Stadium,28780,9750,Geelong, GWS,75,79
30, Sat 13 Apr 2:10pm,MCG,48289,9751,Essendon, Brisbane,112,65
31, Sat 13 Apr 4:05pm,Adelaide Oval,38864,9752,Port Adelaide, Richmond,92,99
32, Sat 13 Apr 6:10pm,Optus Stadium,58219,9754,West Coast, Fremantle,69,56
33, Sat 13 Apr 7:25pm,Marvel Stadium,17207,9753,North Melbourne, Adelaide,71,59
34, Sun 14 Apr 2:40pm,Metricon Stadium,14176,9755,Gold Coast, Carlton,59,57
35, Sun 14 Apr 3:20pm,Marvel Stadium,35883,9756,St Kilda, Hawthorn,74,69
36, Thu 18 Apr 7:35pm,Gabba,34017,9757,Brisbane, Collingwood,61,123
37, Fri 19 Apr 4:20pm,Marvel Stadium,48278,9758,North Melbourne, Essendon,58,116
38, Fri 19 Apr 6:10pm,Optus Stadium,49290,9759,West Coast, Port Adelaide,53,95
39, Sat 20 Apr 1:45pm,Canberra Oval,11277,9760,GWS, Fremantle,82,106
40, Sat 20 Apr 4:35pm,MCG,35558,9761,Melbourne, St Kilda,55,95
41, Sat 20 Apr 7:25pm,Marvel Stadium,40053,9762,Richmond, Sydney,89,67
42, Sun 21 Apr 1:10pm,Marvel Stadium,35069,9763,Western Bulldogs, Carlton,57,101
43, Sun 21 Apr 4:10pm,Adelaide Oval,40847,9764,Adelaide, Gold Coast,119,46
44, Mon 22 Apr 3:20pm,MCG,66347,9765,Hawthorn, Geelong,90,113
