,player_id,player_name
1498,1140,Paul Dear
1570,1141,Scott Maginness
7033,1142,Peter Bird
2174,1143,Adam McCarthy
6748,1143,Adam McCarthy
4169,1144,Stuart Wigney
7571,1144,Stuart Wigney
3285,1144,Stuart Wigney
4653,1144,Stuart Wigney
1811,1145,Glenn Molloy
1870,1146,Jeff Hilton
3577,1146,Jeff Hilton
3305,1147,Tony Free
2596,1148,Sam McFarlane
1436,1149,Leon Higgins
4036,1149,Leon Higgins
4285,115,David Wirrpanda
1582,1150,Simon Crawshay
1497,1151,Paul Cooper
4209,1152,Alex Ishchenko
4685,1152,Alex Ishchenko
2184,1152,Alex Ishchenko
2645,1153,Warren Campbell
4639,1154,Scott Lee
4664,1155,Tony Hall
1612,1155,Tony Hall
4593,1156,Matthew Powell
7075,1157,Ross Lyon
4922,1157,Ross Lyon
4746,1158,Craig Starcevich
5896,1158,Craig Starcevich
4748,1159,Damian Bourke
884,1159,Damian Bourke
4332,116,Josh Wooden
3418,1160,Chris Hollow
3473,1161,Dean Matthews
3526,1162,Gordon Fode
3840,1163,Wayne Thornborrow
3815,1164,Tim Pekin
7101,1164,Tim Pekin
3610,1165,Joshua Kitchen
1355,1166,Glenn Nugent
3525,1166,Glenn Nugent
4362,1167,Michael Brennan
4392,1168,Peter Wilson
3211,1168,Peter Wilson
4364,1169,Michael Dunstan
7001,1169,Michael Dunstan
2769,117,Matthew Bishop
1959,117,Matthew Bishop
4089,1170,Neil Brunton
4626,1171,Rodney Maynard
2088,1172,Sean Wight
5673,1173,Peter Rohde
2024,1173,Peter Rohde
4650,1174,Stephen Rowe
6856,1175,Doug Hawkins
7247,1175,Doug Hawkins
6919,1176,Jeremy Guard
5350,1177,Andrew Cavedon
6756,1177,Andrew Cavedon
6906,1178,James Manson
6011,1178,James Manson
6986,1179,Mark Zanotti
4354,1179,Mark Zanotti
4848,1179,Mark Zanotti
5056,118,Dean Brogan
2717,118,Dean Brogan
1032,1180,Ken Hinkley
6950,1180,Ken Hinkley
7557,1181,Stephen MacPherson
7770,1182,Peter Miller
7737,1183,Leigh Wardell-Johnson
3950,1184,Dermott Brereton
5939,1184,Dermott Brereton
1329,1184,Dermott Brereton
6062,1185,Kent Butcher
1200,1186,Tim Darcy
6717,1186,Tim Darcy
3417,1187,Chris Hemley
3446,1188,Danny Frawley
3436,1189,Damen Shaw
83,119,Shaun Burgoyne
3667,1190,Matthew Jackson
4385,1191,Paul Peos
4895,1191,Paul Peos
1818,1192,Graeme Yeats
2837,1193,Adam Slater
1169,1194,Shane Hamilton
4935,1194,Shane Hamilton
3958,1195,Ed Considine
6442,1195,Ed Considine
4751,1196,Daniel Craven
3442,1196,Daniel Craven
6417,1197,David Flood
3597,1198,John Georgiou
7760,1199,Neil Mildenhall
4501,12,Christopher Ladhams
6391,12,Christopher Ladhams
2798,120,Peter Burgoyne
7720,1200,John Hutton
4015,1200,John Hutton
4808,1200,John Hutton
4850,1201,Martin Leslie
4923,1202,Rudi Frigo
4936,1203,Shane Hodges
6916,1204,Jeff Bruce
7430,1205,Michael Johnston
1468,1205,Michael Johnston
7143,1206,Andrew Nichols
976,1207,James McLure
6869,1208,Gary Pert
5953,1208,Gary Pert
6233,1209,Shane Kerrison
2754,121,Josh Carr
7724,121,Josh Carr
3134,1210,Matthew Dundas
6992,1210,Matthew Dundas
6146,1211,Nick Hider
6048,1212,Jon Ballantyne
7354,1212,Jon Ballantyne
7018,1213,Nick Mitchell
2122,1214,Steven Stretch
7094,1214,Steven Stretch
5804,1215,Andrew Tranquilli
6121,1216,Michael Christian
1168,1217,Shane Crothers
1139,1218,Robert Di Rosa
4717,1219,Brendon Retzlaff
4242,1219,Brendon Retzlaff
7645,1219,Brendon Retzlaff
2624,122,Stuart Cochrane
2819,122,Stuart Cochrane
7663,1220,Clinton Wolf
6981,1221,Mark Bunn
1449,1221,Mark Bunn
6696,1222,Shawn Lewfatt
7807,1223,Travis Edmonds
7532,1224,Sam Phillipou
6827,1225,Darren Payne
7711,1226,Jay Burton
4176,1227,Tim Scott
1004,1228,John Cunningham
3658,1229,Mark Kennedy
2759,123,Kane Cornes
1953,1230,Martin Heppell
3661,1230,Martin Heppell
2177,1231,Adrian McAdam
4335,1232,Karl Langdon
882,1233,Cristian O'Brien
1196,1234,Tim Allen
1604,1234,Tim Allen
3813,1234,Tim Allen
3483,1235,Doug Bailey
4612,1236,Paul Rouvray
5744,1237,Stephen Oliver
5754,1238,Tom Alvin
5651,1239,Paul McCormack
5053,124,Chad Cornes
2693,124,Chad Cornes
4382,1240,Paul Harding
3709,1240,Paul Harding
1499,1240,Paul Harding
3996,1241,Jamie Lawson
4857,1242,Matthew AhMat
4060,1242,Matthew AhMat
4049,1243,Mark Hepburn
4349,1243,Mark Hepburn
2472,1243,Mark Hepburn
4140,1244,Sanford Wheeler
4651,1245,Steven Schwerdt
860,1246,Cain Liddle
1187,1247,Steven Hocking
895,1248,Darren Forssman
3852,1249,Alan Thorpe
7130,1249,Alan Thorpe
1272,125,Brent Guerra
3394,125,Brent Guerra
2678,125,Brent Guerra
4400,1250,Robert West
7513,1250,Robert West
6294,1251,Troy Lehmann
4968,1251,Troy Lehmann
4646,1252,Shane Tongerie
4560,1253,Joshua Mail
5674,1254,Peter Sartori
7047,1254,Peter Sartori
6557,1255,Kieran Sporn
6960,1255,Kieran Sporn
6922,1256,Jim Wynd
5901,1257,Damian Houlihan
3271,1258,Stephen Ryan
6254,1258,Stephen Ryan
6286,1259,Tony Shaw
6402,126,Damien Hardwick
2699,126,Damien Hardwick
3346,1260,Alister Carr
3617,1261,Kain Taylor
7429,1262,Michael Frost
3678,1262,Michael Frost
3425,1263,Clinton Shaw
1053,1264,Mark Bairstow
4325,1265,John Gastev
4807,1265,John Gastev
4084,1266,Michael Werner
6613,1266,Michael Werner
2910,1267,Brian Leys
1839,1268,Haydn Robins
3038,1268,Haydn Robins
6420,1269,David Johnston
6836,1269,David Johnston
2802,127,Roger James
6833,1270,David Bain
4762,1270,David Bain
4715,1271,Brendan McCormack
6786,1271,Brendan McCormack
3336,1272,Adrian Burns
6313,1272,Adrian Burns
3396,1273,Brett Bowey
2067,1274,Rodney Grinter
899,1275,Darren Steele
2292,1275,Darren Steele
888,1276,Daniel Fletcher
6719,1277,Tim Watson
3868,1278,Anthony Daniher
6339,1278,Anthony Daniher
5103,1278,Anthony Daniher
6828,1279,Darren Wheildon
2677,128,Brendon Lade
7102,1280,Tom Kavanagh
2139,1280,Tom Kavanagh
5752,1281,Tim Powell
3297,1281,Tim Powell
7227,1282,Darren Baxter
1309,1282,Darren Baxter
4296,1283,Dwayne Lamb
2862,1284,Anthony Banik
6677,1285,Russell Williams
5663,1286,Peter Green
3772,1287,Sam Jones
3941,1288,David Strooper
3466,1288,David Strooper
6843,1288,David Strooper
5404,1289,Brett Sholl
2816,129,Stephen Paxman
7092,129,Stephen Paxman
4153,1290,Shayne Smith
3324,1291,Wayne Hernaman
7226,1292,Danny Del-Re
5968,1293,Glenn Sandford
3471,1294,Dean Greig
3365,1295,Anthony Harvey
2426,1296,Justin Staritski
6057,1296,Justin Staritski
2536,1297,Peter German
6562,1298,Lachlan Ross
4272,1299,Damien Hampson
4582,13,Martin Mattner
4059,13,Martin Mattner
2685,130,Byron Pickett
1701,130,Byron Pickett
2259,130,Byron Pickett
4891,1300,Nigel Palfreyman
7019,1300,Nigel Palfreyman
3122,1301,Mark McQueen
1572,1302,Sean Ralphsmith
3778,1302,Sean Ralphsmith
3967,1303,Gavin McMahon
1563,1304,Russell Morris
3763,1304,Russell Morris
1523,1305,Phillip Murton
3963,1306,Gareth John
2342,1306,Gareth John
1988,1307,Nathan Brown
5378,1308,Ben Thompson
7756,1309,Michael Clark
2736,131,Jared Poulton
6124,1310,Michael Gardiner
5036,1311,Nathan Bock
4604,1311,Nathan Bock
4699,1312,Ben Hudson
4472,1312,Ben Hudson
7160,1312,Ben Hudson
5820,1312,Ben Hudson
4574,1313,Luke Jericho
4559,1314,Joshua Krueger
4522,1315,Fergus Watts
3493,1315,Fergus Watts
4799,1316,Jed Adcock
7330,1316,Jed Adcock
5809,1317,Anthony Corrie
4692,1317,Anthony Corrie
2826,1318,Tom Logan
4957,1318,Tom Logan
1877,1319,Joel Macdonald
4802,1319,Joel Macdonald
2739,132,Jarrad Schofield
7709,132,Jarrad Schofield
4316,132,Jarrad Schofield
4753,1320,Daniel Merrett
4864,1321,Matthew Moody
5033,1322,Michael Rischitelli
4876,1322,Michael Rischitelli
