"","scores","urls","ID"
"139","86-81","ft_match_statistics?mid","9859"
"140","84-57","ft_match_statistics?mid","9861"
"141","56-151","ft_match_statistics?mid","9860"
"142","94-67","ft_match_statistics?mid","9862"
"143","74-66","ft_match_statistics?mid","9863"
"144","49-97","ft_match_statistics?mid","9864"
"145","75-96","ft_match_statistics?mid","9865"
"146","101-63","ft_match_statistics?mid","9866"
"147","99-75","ft_match_statistics?mid","9867"
"148","122-75","ft_match_statistics?mid","9868"
"149","52-51","ft_match_statistics?mid","9870"
"150","87-75","ft_match_statistics?mid","9869"
"151","61-85","ft_match_statistics?mid","9871"
"152","78-91","ft_match_statistics?mid","9872"
"153","116-89","ft_match_statistics?mid","9873"
"154","66-98","ft_match_statistics?mid","9874"
"155","60-87","ft_match_statistics?mid","9875"
"156","87-60","ft_match_statistics?mid","9876"
"157","121-72","ft_match_statistics?mid","9877"
"158","55-56","ft_match_statistics?mid","9879"
"159","104-85","ft_match_statistics?mid","9878"
"160","113-66","ft_match_statistics?mid","9880"
"161","80-107","ft_match_statistics?mid","9881"
"162","96-106","ft_match_statistics?mid","9882"
"163","86-64","ft_match_statistics?mid","9883"
"164","67-126","ft_match_statistics?mid","9884"
"165","83-81","ft_match_statistics?mid","9885"
"166","95-61","ft_match_statistics?mid","9886"
"167","92-70","ft_match_statistics?mid","9888"
"168","60-93","ft_match_statistics?mid","9887"
"169","120-51","ft_match_statistics?mid","9889"
"170","75-99","ft_match_statistics?mid","9890"
"171","98-80","ft_match_statistics?mid","9891"
"172","29-85","ft_match_statistics?mid","9892"
"173","103-56","ft_match_statistics?mid","9894"
"174","53-70","ft_match_statistics?mid","9893"
"175","144-53","ft_match_statistics?mid","9895"
"176","33-137","ft_match_statistics?mid","9896"
"177","69-14","ft_match_statistics?mid","9897"
"178","72-69","ft_match_statistics?mid","9898"
"179","73-45","ft_match_statistics?mid","9899"
"180","90-80","ft_match_statistics?mid","9900"
"181","42-95","ft_match_statistics?mid","9901"
"182","78-68","ft_match_statistics?mid","9902"
"183","75-74","ft_match_statistics?mid","9903"
"184","48-114","ft_match_statistics?mid","9904"
"185","55-87","ft_match_statistics?mid","9906"
"186","144-58","ft_match_statistics?mid","9905"
"187","88-82","ft_match_statistics?mid","9907"
"188","65-126","ft_match_statistics?mid","9908"
"189","118-48","ft_match_statistics?mid","9909"
