fanfooty_team_name,footywire_team_name
AD,Adelaide
BL,Brisbane
CA,Carlton
CO,Collingwood
ES,Essendon
FR,Fremantle
GC,Gold Coast
GE,Geelong
HW,Hawthorn
ME,Melbourne
NM,North Melbourne
PA,Port Adelaide
RI,Richmond
SK,St Kilda
SY,Sydney
WB,Western Bulldogs
WC,West Coast
WS,GWS
